Dates,fit,upr,lwr
2017-04,13325,13325,13325
2017-05,13473,13936,13010
2017-06,13601,14255,12946
2017-07,13335,14137,12533
2017-08,13393,14319,12467
2017-09,13669,14704,12634
2017-10,13803,14937,12669
2017-11,13929,15154,12704
2017-12,13969,15279,12660
2018-01,13962,15351,12573
2018-02,13895,15359,12431
2018-03,14017,15552,12481
2018-04,14030,15634,12427
