Dates,fit,upr,lwr
2017-02,-6.17,-6.17,-6.17
2017-03,3.47,20.16,-13.21
2017-04,-4.16,12.53,-20.85
2017-05,-1.09,15.59,-17.78
2017-06,11.1,27.78,-5.59
2017-07,-27.25,-10.56,-43.94
2017-08,31.36,48.05,14.68
2017-09,-2.65,14.03,-19.34
2017-10,-0.13,16.56,-16.81
2017-11,4.01,20.69,-12.68
2017-12,1.36,18.05,-15.33
2018-01,-4.79,11.9,-21.48
2018-02,-6.8,9.88,-23.49
