Dates,fit,upr,lwr
2017-01,23.21,23.21,23.21
2017-02,23.98,25.16,22.8
2017-03,23.96,25.34,22.57
2017-04,23.77,25.35,22.19
2017-05,23.76,25.51,22
2017-06,23.47,25.39,21.55
2017-07,23.51,25.59,21.43
2017-08,23.29,25.53,21.05
2017-09,22.97,25.36,20.58
2017-10,23.4,25.94,20.86
2017-11,23.4,26.09,20.72
2017-12,23.23,26.06,20.39
2018-01,24.19,27.16,21.21
