Dates,fit,upr,lwr
2016-12,2.8,2.8,2.8
2017-01,-1.08,1.14,-3.31
2017-02,0.34,2.57,-1.89
2017-03,0.66,2.88,-1.57
2017-04,0.49,2.72,-1.74
2017-05,0.6,2.83,-1.63
2017-06,2.04,4.27,-0.19
2017-07,0.01,2.24,-2.22
2017-08,0.22,2.44,-2.01
2017-09,0.74,2.97,-1.48
2017-10,0.04,2.26,-2.19
2017-11,1.2,3.43,-1.03
2017-12,2.46,4.69,0.23
