Dates,fit,upr,lwr
2017-01,5.39,5.39,5.39
2017-02,5.35,5.86,4.83
2017-03,5.76,6.42,5.11
2017-04,5.82,6.59,5.04
2017-05,5.89,6.78,5
2017-06,5.94,6.93,4.95
2017-07,5.97,7.06,4.88
2017-08,5.95,7.14,4.76
2017-09,5.91,7.19,4.63
2017-10,5.83,7.21,4.46
2017-11,5.67,7.14,4.21
2017-12,5.62,7.17,4.06
2018-01,5.55,7.19,3.91
