Dates,fit,upr,lwr
2017-03,7.38,7.38,7.38
2017-04,7.86,9.39,6.32
2017-05,8.48,10.54,6.41
2017-06,8.77,11.3,6.25
2017-07,8.38,11.31,5.44
2017-08,8.17,11.49,4.85
2017-09,8.16,11.85,4.47
2017-10,7.91,11.96,3.86
2017-11,8.03,12.43,3.62
2017-12,7.8,12.55,3.04
2018-01,7.53,12.62,2.43
2018-02,7.37,12.81,1.94
2018-03,7.5,13.27,1.72
