Dates,fit,upr,lwr
2017-03,-0.02,-0.02,-0.02
2017-04,-0.17,0.85,-1.18
2017-05,0.1,1.12,-0.92
2017-06,0.52,1.54,-0.51
2017-07,1,2.04,-0.03
2017-08,0.36,1.4,-0.68
2017-09,0.15,1.2,-0.9
2017-10,0.08,1.13,-0.98
2017-11,0.36,1.42,-0.71
2017-12,0.73,1.8,-0.35
2018-01,0.55,1.64,-0.53
2018-02,-0.02,1.08,-1.12
2018-03,-0.06,1.05,-1.18
