Dates,fit,upr,lwr
2017-01,3.09,3.09,3.09
2017-02,3.17,3.31,3.03
2017-03,3.17,3.36,2.98
2017-04,3.27,3.51,3.03
2017-05,3.35,3.65,3.05
2017-06,3.29,3.64,2.94
2017-07,3.4,3.8,2.99
2017-08,3.47,3.93,3.01
2017-09,3.43,3.95,2.91
2017-10,3.48,4.06,2.9
2017-11,3.43,4.07,2.79
2017-12,3.21,3.92,2.51
2018-01,3.39,4.16,2.62
