Dates,fit,upr,lwr
2017-04,5654,5654,5654
2017-05,5557,5928,5186
2017-06,5382,5856,4908
2017-07,5542,6101,4984
2017-08,5608,6239,4976
2017-09,5542,6240,4845
2017-10,5537,6294,4779
2017-11,5457,6270,4644
2017-12,5473,6338,4608
2018-01,5620,6534,4706
2018-02,5789,6750,4829
2018-03,5905,6910,4900
2018-04,5974,7022,4927
