Dates,fit,upr,lwr
2017-02,-5.96,-5.96,-5.96
2017-03,9.57,27.56,-8.42
2017-04,-5.81,12.18,-23.8
2017-05,1.53,19.52,-16.46
2017-06,7.07,25.07,-10.92
2017-07,-26.94,-8.95,-44.93
2017-08,35.86,53.85,17.87
2017-09,-10.28,7.72,-28.27
2017-10,0.36,18.35,-17.63
2017-11,8.61,26.6,-9.39
2017-12,-0.6,17.39,-18.59
2018-01,-7.86,10.13,-25.85
2018-02,-7.45,10.54,-25.44
