Dates,fit,upr,lwr
2017-01,-1.47,-1.47,-1.47
2017-02,-0.26,0.91,-1.43
2017-03,0.51,1.68,-0.66
2017-04,0.28,1.45,-0.89
2017-05,1.21,2.39,0.04
2017-06,1.91,3.09,0.74
2017-07,-0.65,0.52,-1.82
2017-08,0.34,1.52,-0.83
2017-09,1.43,2.61,0.26
2017-10,-0.44,0.73,-1.62
2017-11,1.03,2.21,-0.15
2017-12,1.96,3.14,0.78
2018-01,-1.85,-0.67,-3.02
